Date,Adj Close,Close,High,Low,Open,Volume
4/7/2022,32.27000046,32.27000046,33.34000015,31.02000046,33.34000015,34581000
4/8/2022,32.04999924,32.04999924,32.55099869,31.57999992,31.92000008,17991000
5/2/2022,30.38999939,30.38999939,31.35000038,29.51000023,31.23999977,45651000
5/3/2022,29.46999931,29.46999931,30.59000015,28.85000038,30.14999962,58340700
5/4/2022,28.10000038,28.10000038,28.39999962,25.89999962,27.40999985,115601800
5/5/2022,26.82999992,26.82999992,28.82999992,26.20000076,27.87000084,52804200
5/6/2022,26.06999969,26.06999969,26.84000015,24.75,26.84000015,56575100
5/9/2022,23.04999924,23.04999924,26.06500053,22.79999924,25.40999985,58095900
6/1/2022,22.94000053,22.94000053,23.87000084,22.56500053,23.53000069,26383600
6/2/2022,24.73999977,24.73999977,24.82999992,22.94000053,23.06999969,30691100
6/3/2022,24.14999962,24.14999962,24.49500084,23.72500038,24.17000008,24283600
6/6/2022,24.72999954,24.72999954,25.43499947,24.28000069,24.86000061,29834700
6/7/2022,25.29999924,25.29999924,25.70000076,24.06999969,24.20000076,27453700
6/8/2022,25.82999992,25.82999992,26.54999924,25.29999924,25.70000076,31225300
6/9/2022,25.44000053,25.44000053,26.69000053,25.35499954,25.94000053,42063600
7/1/2022,21.34000015,21.34000015,21.37000084,20.43000031,20.70000076,20693300
7/5/2022,22.52000046,22.52000046,22.54999924,20.82999992,21.17000008,24500300
7/6/2022,21.5,21.5,22.07999992,21.31999969,21.5,32689400
7/7/2022,22.73999977,22.73999977,22.75900078,21.61000061,21.63999939,23121900
7/8/2022,22.34000015,22.34000015,22.95999908,21.83200073,22.43000031,20231300
8/1/2022,24.60000038,24.60000038,24.62000084,22.88500023,23.43000031,46960700
8/2/2022,29.25,29.25,29.43000031,27.10000038,28.48999977,107926300
8/3/2022,30.19000053,30.19000053,31.43000031,29.36000061,29.71999931,62061200
8/4/2022,31.85000038,31.85000038,32.22999954,29.60000038,29.78000069,55573600
8/5/2022,32.00999832,32.00999832,32.63000107,31.04000092,31.20000076,39963600
8/8/2022,31.85000038,31.85000038,32.95500183,31.65999985,32.33000183,28064900
8/9/2022,31.05999947,31.05999947,31.54999924,30.71999931,31.37000084,27042900
9/1/2022,28.92000008,28.92000008,28.95000076,27.69000053,28.17000008,17828100
9/2/2022,29.04999924,29.04999924,29.63500023,28.64999962,29.5,14604400
9/6/2022,28.88999939,28.88999939,29.37000084,28.28000069,29.34000015,20422800
9/7/2022,30.03000069,30.03000069,30.14999962,28.81999969,28.90999985,20632200
9/8/2022,30.68000031,30.68000031,30.89999962,29.29000092,29.42000008,29393500
9/9/2022,31.78000069,31.78000069,32.04999924,30.88999939,31,28055900
1/3/2023,25.36000061,25.36000061,25.75,25.02000046,25.37000084,22155300
1/4/2023,25.90999985,25.90999985,25.96999931,25.31999969,25.72999954,14816000
1/5/2023,25.54999924,25.54999924,26.01000023,25.54999924,25.72999954,9942000
1/6/2023,26.39999962,26.39999962,26.54000092,25.39999962,25.86000061,19443800
1/9/2023,27.39999962,27.39999962,28.04999924,27.14999962,27.29999924,24962100
2/1/2023,31.48999977,31.48999977,31.85000038,30.63999939,30.87999916,21206400
2/2/2023,33.04999924,33.04999924,33.47000122,32.41999817,32.41999817,32045500
2/3/2023,33.09000015,33.09000015,33.95000076,32.15000153,32.16999817,25804900
